elapsed	disk_usage	delta	peak
4	0	0	0
115	8	8	8
224	482952	482952	482952
332	1037776	1037776	1037776
437	1574688	1574688	1574688
541	2107872	2107872	2107872
648	2654776	2654776	2654776
757	3199680	3199680	3199680
866	3752512	3752512	3752512
972	4289488	4289488	4289488
1083	4916680	4916680	4916680
1192	5440968	5440968	5440968
1301	5932488	5932488	5932488
1406	6489544	6489544	6489544
1514	7013832	7013832	7013832
1623	7570888	7570888	7570888
1729	8095176	8095176	8095176
1838	8652232	8652232	8652232
1946	9209288	9209288	9209288
2051	9733576	9733576	9733576
2158	10257864	10257864	10257864
2264	10814920	10814920	10814920
2375	11371976	11371976	11371976
2483	11929032	11929032	11929032
2593	12453320	12453320	12453320
2702	12977608	12977608	12977608
2814	13567432	13567432	13567432
2923	14124488	14124488	14124488
3032	14616008	14616008	14616008
3141	15205832	15205832	15205832
3250	15762888	15762888	15762888
3357	16319944	16319944	16319944
3467	16844232	16844232	16844232
3574	17368520	17368520	17368520
3682	17892808	17892808	17892808
3796	18384328	18384328	18384328
3902	18908616	18908616	18908616
4011	19498440	19498440	19498440
4120	20055496	20055496	20055496
4230	20514248	20514248	20514248
4339	21071304	21071304	21071304
4452	21628360	21628360	21628360
4560	22185416	22185416	22185416
4671	22775240	22775240	22775240
4778	22971848	22971848	22971848
